Variable sensible,Grupo,N,Accuracy,F1 Macro
Longitud,muy_corta,195,0.8205128205128205,0.3857851596203624
Longitud,corta,551,0.662431941923775,0.464557320225254
Longitud,media,266,0.5413533834586466,0.3853132387706856
Longitud,larga,22,0.4090909090909091,0.3482142857142857
JOIN en SQL,0,626,0.7523961661341853,0.4934497134252438
JOIN en SQL,1,408,0.5073529411764706,0.28337714443829554
Dominio (top-10),car_1,92,0.5760869565217391,0.31096649645036745
Dominio (top-10),concert_singer,45,0.6,0.5169286105246697
Dominio (top-10),cre_Doc_Template_Mgt,84,0.7023809523809523,0.6763692762718895
Dominio (top-10),dog_kennels,82,0.5,0.4754115226337448
Dominio (top-10),flight_2,80,0.6125,0.5511111111111111
Dominio (top-10),network_1,56,0.8035714285714286,0.7467460317460318
Dominio (top-10),student_transcripts_tracking,78,0.7564102564102564,0.7456922162804515
Dominio (top-10),tvshow,62,0.6451612903225806,0.5530158730158731
Dominio (top-10),world_1,120,0.5916666666666667,0.4288016173262075
Dominio (top-10),wta_1,62,0.8064516129032258,0.7905571867301138
