n_estimators,max_depth,max_depth_str,min_samples_split,F1 train,F1 Macro,gap
50,5,5,2,0.5754482225494375,0.43187212339716635,0.14357609915227115
50,5,5,5,0.5687307987020593,0.44790737992705215,0.12082341877500719
50,5,5,10,0.546628447368924,0.4527123282359943,0.09391611913292974
50,5,5,20,0.5454816499454953,0.4484648612675023,0.09701678867799302
50,10,10,2,0.7390656277535854,0.4237907495077696,0.3152748782458158
50,10,10,5,0.7158268665534451,0.43044900931528574,0.28537785723815934
50,10,10,10,0.6849368996556119,0.4195450316973216,0.2653918679582903
50,10,10,20,0.6553933593746375,0.4313817740901074,0.22401158528453008
50,15,15,2,0.8082737323560454,0.44815834271436805,0.36011538964167733
50,15,15,5,0.792201684113383,0.44188468165041195,0.35031700246297104
50,15,15,10,0.760448977918816,0.4445132143047058,0.31593576361411024
50,15,15,20,0.715722200453081,0.43531424099226196,0.28040795946081903
50,20,20,2,0.8600652780343363,0.4576470321487135,0.4024182458856228
50,20,20,5,0.834200064949012,0.4675630917665695,0.3666369731824425
50,20,20,10,0.8030782227327786,0.46253939645939146,0.34053882627338716
50,20,20,20,0.775606043293798,0.45151861735925786,0.32408742593454015
50,30,30,2,0.9225754533570429,0.46867487400127605,0.4539005793557669
50,30,30,5,0.9011933360891534,0.47298792680304663,0.4282054092861068
50,30,30,10,0.8750293425324124,0.48331839665254095,0.39171094587987143
50,30,30,20,0.8407456540727881,0.4688796107274368,0.37186604334535134
50,40,None,2,1.0,0.44612873365605793,0.553871266343942
50,40,None,5,0.9974931867968835,0.4717579506634646,0.5257352361334189
50,40,None,10,0.9887705667853596,0.4725550965378039,0.5162154702475557
50,40,None,20,0.9743856916213522,0.48878799382375804,0.4855976977975942
100,5,5,2,0.6272236398951081,0.4164515478637879,0.2107720920313202
100,5,5,5,0.6031157012705426,0.4113657867116117,0.19174991455893087
100,5,5,10,0.58331974918124,0.42258506517511296,0.160734684006127
100,5,5,20,0.5764730298454223,0.4247543301633482,0.15171869968207408
100,10,10,2,0.7533357186964991,0.427581228508706,0.32575449018779307
100,10,10,5,0.7254213389152347,0.4448015387766566,0.2806198001385781
100,10,10,10,0.6989085936888184,0.43281130299872905,0.26609729069008936
100,10,10,20,0.6697267545717062,0.43177956379255705,0.2379471907791491
100,15,15,2,0.8151431997544043,0.4393657217267126,0.3757774780276917
100,15,15,5,0.7932809048848589,0.44495401925832667,0.34832688562653225
100,15,15,10,0.7621168868664221,0.439385882641136,0.3227310042252861
100,15,15,20,0.7278677714956633,0.4410295535897317,0.28683821790593156
100,20,20,2,0.8670241902469844,0.45844553399845095,0.40857865624853346
100,20,20,5,0.8411326338892737,0.4601072431429574,0.3810253907463163
100,20,20,10,0.8096869428720638,0.4633333798933673,0.34635356297869646
100,20,20,20,0.7807551341023855,0.4521575208862851,0.3285976132161004
100,30,30,2,0.9367147727959063,0.46763156995378685,0.46908320284211946
100,30,30,5,0.9151974122336795,0.4712242554522226,0.4439731567814569
100,30,30,10,0.8881785968857656,0.4869092487486415,0.4012693481371241
100,30,30,20,0.8430375165844038,0.4718564665024307,0.37118105008197316
